2547,Chris Bosh,1610612748,MIA,31.0,6-11,83,235,Georgia Tech,USA,2003,1,4,44,21.1,7.0,2.2,-2.2,0.036,0.201,0.29,0.548,0.121
203142,Chris Copeland,1610612754,IND,31.0,6-8,80,235,Colorado,USA,Undrafted,Undrafted,Undrafted,50,6.2,2.2,1.0,-3.9,0.031,0.118,0.212,0.468,0.102
201604,Chris Douglas-Roberts,1610612746,LAC,28.0,6-7,79,210,Memphis,USA,2008,2,40,12,1.6,1.0,0.3,-7.8,0.011,0.159,0.11,0.387,0.058
203187,Chris Johnson,1610612762,UTA,25.0,6-6,78,201,Dayton,USA,Undrafted,Undrafted,Undrafted,29,5.7,1.9,0.5,-2.7,0.016,0.099,0.145,0.515,0.046
2549,Chris Kaman,1610612757,POR,33.0,7-0,84,265,Central Michigan,USA,2003,1,6,74,8.6,6.5,0.9,0.6,0.117,0.265,0.228,0.537,0.079
101108,Chris Paul,1610612746,LAC,30.0,6-0,72,175,Wake Forest,USA,2005,1,4,82,19.1,4.6,10.2,12.2,0.021,0.124,0.234,0.596,0.441
203921,Cleanthony Early,1610612752,NYK,24.0,6-8,80,220,Wichita State,USA,2014,2,34,39,5.4,2.5,0.9,-13.0,0.038,0.139,0.195,0.447,0.102
203991,Clint Capela,1610612745,HOU,20.0,6-10,82,240,None,Switzerland,2014,1,25,12,2.7,3.0,0.2,5.6,0.115,0.241,0.213,0.409,0.037
203469,Cody Zeller,1610612766,CHA,22.0,7-0,84,240,Indiana,USA,2013,1,4,62,7.6,5.8,1.6,1.4,0.073,0.202,0.155,0.53,0.106
202332,Cole Aldrich,1610612752,NYK,26.0,6-11,83,250,Kansas,USA,2010,1,11,61,5.5,5.5,1.2,-16.0,0.112,0.28,0.182,0.513,0.143
201147,Corey Brewer,1610612745,HOU,29.0,6-9,81,186,Florida,USA,2007,1,7,80,11.5,3.7,2.2,-0.6,0.041,0.115,0.209,0.507,0.131
203928,Cory Jefferson,1610612751,BKN,24.0,6-9,81,218,Baylor,USA,2014,2,60,50,3.7,2.9,0.3,6.8,0.101,0.2,0.174,0.48,0.047
202709,Cory Joseph,1610612759,SAS,23.0,6-3,75,190,Texas,Canada,2011,1,29,79,6.8,2.4,2.4,6.4,0.035,0.113,0.171,0.564,0.205
201584,Courtney Lee,1610612763,MEM,29.0,6-5,77,200,Western Kentucky,USA,2008,1,22,77,10.1,2.3,2.0,2.1,0.01,0.077,0.152,0.555,0.096
201571,D.J. Augustin,1610612760,OKC,27.0,6-0,72,183,Texas,USA,2008,1,9,82,9.5,2.0,4.3,-2.9,0.011,0.079,0.198,0.527,0.286
2563,Dahntay Jones,1610612746,LAC,34.0,6-6,78,225,Duke,USA,2003,1,20,33,0.6,0.3,0.1,-23.0,0.008,0.093,0.103,0.406,0.027
203081,Damian Lillard,1610612757,POR,24.0,6-3,75,195,Weber State,USA,2012,1,6,82,21.0,4.6,6.2,4.5,0.018,0.119,0.267,0.56,0.285
204014,Damjan Rudez,1610612754,IND,28.0,6-10,82,200,None,Croatia,Undrafted,Undrafted,Undrafted,68,4.8,0.7,0.8,-0.7,0.008,0.042,0.137,0.591,0.079
201568,Danilo Gallinari,1610612743,DEN,26.0,6-10,82,225,None,Italy,2008,1,6,59,12.4,3.7,1.4,1.4,0.023,0.148,0.217,0.563,0.094
101122,Danny Granger,1610612756,PHX,32.0,6-9,81,222,New Mexico,USA,2005,1,17,30,6.3,2.7,0.6,-8.0,0.041,0.117,0.161,0.527,0.049
201980,Danny Green,1610612759,SAS,27.0,6-6,78,215,North Carolina,USA,2009,2,46,81,11.7,4.2,2.0,9.9,0.027,0.138,0.175,0.596,0.101
201967,Dante Cunningham,1610612740,NOP,28.0,6-8,80,230,Villanova,USA,2009,2,33,66,5.2,3.9,0.8,0.8,0.051,0.127,0.112,0.473,0.045
203957,Dante Exum,1610612762,UTA,19.0,6-6,78,190,None,Australia,2014,1,5,82,4.8,1.6,2.4,3.3,0.018,0.065,0.141,0.457,0.169
203121,Darius Miller,1610612740,NOP,25.0,6-8,80,225,Kentucky,USA,2012,2,46,5,0.4,0.2,0.4,-13.1,0.0,0.031,0.089,0.143,0.074
202721,Darius Morris,1610612751,BKN,24.0,6-4,76,195,Michigan,USA,2011,2,41,38,2.2,0.7,1.3,-11.2,0.025,0.077,0.199,0.377,0.281
201589,Darrell Arthur,1610612743,DEN,27.0,6-9,81,235,Kansas,USA,2008,1,27,58,6.6,2.9,1.0,-0.2,0.055,0.129,0.202,0.466,0.096
201954,Darren Collison,1610612758,SAC,27.0,6-0,72,175,California-Los Angeles,USA,2009,1,21,45,16.1,3.2,5.6,1.2,0.015,0.086,0.21,0.575,0.263
101135,David Lee,1610612744,GSW,32.0,6-9,81,245,Florida,USA,2005,1,30,49,7.9,5.2,1.7,3.2,0.097,0.22,0.197,0.541,0.142
204065,David Stockton,1610612758,SAC,23.0,5-11,71,165,Gonzaga,USA,Undrafted,Undrafted,Undrafted,3,2.7,0.7,3.0,32.7,0.0,0.053,0.161,0.463,0.333
204033,David Wear,1610612758,SAC,24.0,6-10,82,230,California-Los Angeles,USA,Undrafted,Undrafted,Undrafted,2,0.0,1.0,0.5,-67.3,0.2,0.0,0.091,0.0,0.143
2561,David West,1610612754,IND,34.0,6-9,81,250,Xavier,USA,2003,1,18,66,11.7,6.8,3.4,0.1,0.062,0.194,0.21,0.508,0.199
201599,DeAndre Jordan,1610612746,LAC,26.0,6-11,83,265,Texas A&M,USA,2008,2,35,82,11.5,15.0,0.7,11.2,0.162,0.323,0.135,0.638,0.03
201971,DeJuan Blair,1610612764,WAS,26.0,6-7,79,270,Pittsburgh,USA,2009,2,37,29,1.9,1.9,0.1,-12.4,0.11,0.241,0.182,0.469,0.029
201942,DeMar DeRozan,1610612761,TOR,25.0,6-7,79,220,Southern California,USA,2009,1,9,60,20.1,4.6,3.5,2.6,0.023,0.128,0.286,0.51,0.174
202326,DeMarcus Cousins,1610612758,SAC,24.0,6-11,83,270,Kentucky,USA,2010,1,5,59,24.1,12.7,3.6,0.1,0.11,0.297,0.339,0.545,0.202
201960,DeMarre Carroll,1610612737,ATL,28.0,6-8,80,212,Missouri,USA,2009,1,27,70,12.6,5.3,1.7,5.7,0.054,0.14,0.168,0.603,0.083
203471,Dennis Schroder,1610612737,ATL,21.0,6-1,73,168,None,Germany,2013,1,17,77,10.0,2.1,4.1,-0.3,0.023,0.099,0.274,0.516,0.373
101114,Deron Williams,1610612751,BKN,30.0,6-3,75,200,Illinois,USA,2005,1,3,68,13.0,3.5,6.6,0.1,0.015,0.112,0.223,0.504,0.326
202324,Derrick Favors,1610612762,UTA,23.0,6-10,82,262,Georgia Tech,USA,2010,1,3,74,16.0,8.2,1.5,2.2,0.101,0.209,0.241,0.558,0.09
201565,Derrick Rose,1610612741,CHI,26.0,6-3,75,190,Memphis,USA,2008,1,1,51,17.7,3.2,4.9,4.1,0.025,0.083,0.31,0.493,0.289
202682,Derrick Williams,1610612758,SAC,23.0,6-8,80,240,Arizona,USA,2011,1,2,74,8.3,2.7,0.7,-7.2,0.033,0.118,0.189,0.54,0.057
2734,Devin Harris,1610612742,DAL,32.0,6-3,75,192,Wisconsin,USA,2004,1,5,76,8.8,1.8,3.1,3.3,0.008,0.081,0.179,0.559,0.207
203906,Devyn Marble,1610612753,ORL,22.0,6-6,78,200,Iowa,USA,2014,2,56,16,2.3,1.9,1.1,-1.8,0.024,0.142,0.124,0.362,0.102
203473,Dewayne Dedmon,1610612753,ORL,25.0,7-0,84,245,Southern California,USA,Undrafted,Undrafted,Undrafted,59,3.7,5.0,0.2,-0.5,0.153,0.235,0.128,0.568,0.016
203079,Dion Waiters,1610612760,OKC,23.0,6-4,76,225,Syracuse,USA,2012,1,4,80,11.8,2.4,2.0,0.3,0.02,0.074,0.221,0.46,0.116
1717,Dirk Nowitzki,1610612742,DAL,36.0,7-0,84,245,None,Germany,1998,1,9,77,17.3,5.9,1.9,4.3,0.021,0.206,0.251,0.56,0.101
202388,Donald Sloan,1610612754,IND,27.0,6-3,75,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,53,7.4,2.7,3.6,-4.8,0.012,0.128,0.185,0.503,0.291
202700,Donatas Motiejunas,1610612745,HOU,24.0,7-0,84,255,None,Lithuania,2011,1,20,71,12.0,5.9,1.8,2.6,0.075,0.161,0.193,0.553,0.109
2748,Dorell Wright,1610612757,POR,29.0,6-9,81,205,None,USA,2004,1,19,48,4.6,2.3,0.9,6.1,0.025,0.178,0.171,0.525,0.102
203926,Doug McDermott,1610612741,CHI,23.0,6-8,80,225,Creighton,USA,2014,1,11,36,3.0,1.2,0.2,-12.2,0.021,0.13,0.188,0.48,0.033
203110,Draymond Green,1610612744,GSW,25.0,6-7,79,230,Michigan State,USA,2012,2,35,79,11.7,8.2,3.7,16.5,0.051,0.218,0.171,0.54,0.155
2400,Drew Gooden,1610612764,WAS,33.0,6-10,82,250,Kansas,USA,2002,1,4,51,5.4,4.4,1.0,0.4,0.099,0.189,0.171,0.469,0.089
204079,Drew Gordon,1610612755,PHI,24.0,6-9,81,245,New Mexico,USA,Undrafted,Undrafted,Undrafted,9,1.9,2.0,0.2,-22.9,0.097,0.2,0.159,0.428,0.044
202779,Dwight Buycks,1610612747,LAL,26.0,6-3,75,190,Marquette,USA,Undrafted,Undrafted,Undrafted,6,8.7,2.0,2.3,-13.6,0.018,0.092,0.21,0.586,0.206
2730,Dwight Howard,1610612745,HOU,29.0,6-11,83,275,None,USA,2004,1,1,41,15.8,10.5,1.2,8.1,0.106,0.296,0.234,0.596,0.072
203939,Dwight Powell,1610612742,DAL,23.0,6-11,83,240,Stanford,Canada,2014,2,45,29,3.1,1.7,0.3,-4.4,0.08,0.161,0.167,0.552,0.058
2548,Dwyane Wade,1610612748,MIA,33.0,6-4,76,220,Marquette,USA,2003,1,5,62,21.5,3.5,4.8,-1.2,0.036,0.097,0.345,0.534,0.3
202734,E'Twaun Moore,1610612741,CHI,26.0,6-4,76,191,Purdue,USA,2011,2,55,56,2.7,0.8,0.6,0.6,0.027,0.077,0.146,0.504,0.106
2853,Earl Barron,1610612756,PHX,33.0,7-0,84,250,Memphis,USA,Undrafted,Undrafted,Undrafted,16,2.0,1.8,0.3,-19.7,0.092,0.136,0.153,0.361,0.06
201947,Earl Clark,1610612751,BKN,27.0,6-10,82,234,Louisville,USA,2009,1,14,10,2.7,2.3,0.3,-14.1,0.011,0.234,0.176,0.425,0.058
202334,Ed Davis,1610612747,LAL,25.0,6-10,82,240,North Carolina,USA,2010,1,13,79,8.3,7.6,1.2,-7.4,0.134,0.234,0.147,0.594,0.082
202327,Ekpe Udoh,1610612746,LAC,27.0,6-10,82,245,Baylor,USA,2010,1,6,33,0.9,0.8,0.2,-2.8,0.062,0.16,0.129,0.519,0.107
203901,Elfrid Payton,1610612753,ORL,21.0,6-4,76,185,Louisiana-Lafayette,USA,2014,1,10,82,8.9,4.3,6.5,-3.4,0.047,0.111,0.182,0.456,0.314
202407,Elijah Millsap,1610612762,UTA,27.0,6-6,78,215,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,47,5.3,3.2,1.2,5.6,0.035,0.145,0.17,0.45,0.101
202343,Elliot Williams,1610612740,NOP,25.0,6-5,77,190,Memphis,USA,2010,1,22,13,2.8,0.6,0.9,1.6,0.0,0.075,0.164,0.477,0.15
1882,Elton Brand,1610612737,ATL,36.0,6-9,81,254,Duke,USA,1999,1,1,36,2.7,2.8,0.6,1.3,0.065,0.161,0.117,0.457,0.07
202683,Enes Kanter,1610612760,OKC,22.0,6-11,83,245,Kentucky,Turkey,2011,1,3,75,15.5,8.9,0.7,-2.6,0.147,0.21,0.241,0.564,0.044
202339,Eric Bledsoe,1610612756,PHX,25.0,6-1,73,195,Kentucky,USA,2010,1,18,81,17.0,5.2,6.1,1.5,0.029,0.136,0.238,0.555,0.273
201569,Eric Gordon,1610612740,NOP,26.0,6-4,76,215,Indiana,USA,2008,1,7,61,13.4,2.6,3.8,1.2,0.016,0.074,0.198,0.544,0.177
203961,Eric Moreland,1610612758,SAC,23.0,6-10,82,218,Oregon State,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.3,0.0,36.1,0.0,0.5,0.25,1.0,0.0
203475,Erick Green,1610612743,DEN,24.0,6-4,76,185,Virginia Tech,USA,2013,2,46,43,3.4,0.7,0.9,-11.0,0.017,0.068,0.186,0.436,0.165
101141,Ersan Ilyasova,1610612749,MIL,28.0,6-10,82,235,None,Turkey,2005,2,36,58,11.5,4.8,1.0,1.8,0.07,0.177,0.218,0.554,0.07
203095,Evan Fournier,1610612753,ORL,22.0,6-7,79,205,None,France,2012,1,20,58,12.0,2.6,2.1,-4.1,0.019,0.089,0.2,0.546,0.115
202323,Evan Turner,1610612738,BOS,26.0,6-7,79,220,Ohio State,USA,2010,1,2,82,9.5,5.1,5.5,-2.4,0.019,0.184,0.195,0.482,0.302
203105,Festus Ezeli,1610612744,GSW,25.0,6-11,83,265,Vanderbilt,Nigeria,2012,1,30,46,4.4,3.4,0.2,5.4,0.131,0.189,0.177,0.58,0.028
101128,Francisco Garcia,1610612745,HOU,34.0,6-7,79,215,Louisville,Dominican Republic,2005,1,23,14,3.2,1.2,1.1,-1.3,0.018,0.078,0.17,0.347,0.128
203128,Furkan Aldemir,1610612755,PHI,23.0,6-10,82,240,None,Turkey,2012,2,53,41,2.3,4.3,0.7,-10.4,0.143,0.21,0.084,0.517,0.079
203539,Gal Mekel,1610612740,NOP,27.0,6-3,75,191,Wichita State,Israel,Undrafted,Undrafted,Undrafted,4,1.5,0.3,3.3,-1.9,0.0,0.026,0.24,0.15,0.448
202066,Garrett Temple,1610612764,WAS,29.0,6-6,78,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,52,3.9,1.7,1.1,-0.4,0.036,0.096,0.139,0.534,0.119
203914,Gary Harris,1610612743,DEN,20.0,6-4,76,210,Michigan State,USA,2014,1,19,55,3.4,1.2,0.5,-12.8,0.029,0.068,0.162,0.395,0.061
202390,Gary Neal,1610612750,MIN,30.0,6-4,76,210,Towson,USA,Undrafted,Undrafted,Undrafted,54,10.1,2.4,1.9,-4.2,0.013,0.111,0.24,0.483,0.152
201588,George Hill,1610612754,IND,29.0,6-3,75,188,Indiana Purdue-Indianapolis,USA,2008,1,26,43,16.1,4.2,5.1,7.1,0.022,0.134,0.243,0.579,0.304
101123,Gerald Green,1610612756,PHX,29.0,6-8,80,210,None,USA,2005,1,18,74,11.9,2.5,1.2,0.1,0.025,0.119,0.284,0.532,0.11
